TYPENAME,,0LayerPattern,,Pattern,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,,,Pattern.Name,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,AssetPath,,,,Pattern.CraftingIconAssetFilePath,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Number,,,,Pattern.ModuleCount,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Extents,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,String,,,,Pattern.Thickness,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module1Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module2Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module3Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module4Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module5Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module6Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module7Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module8Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module9Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module10Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module11Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module12Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module13Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module14Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module15Dimensions,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Formula,,,,Pattern.Module16Dimensions,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Pattern.Name,Pattern.CraftingIconAssetFilePath,Pattern.ModuleCount,Pattern.Extents,Pattern.Thickness,Pattern.Module1Dimensions,Pattern.Module2Dimensions,Pattern.Module3Dimensions,Pattern.Module4Dimensions,Pattern.Module5Dimensions,Pattern.Module6Dimensions,Pattern.Module7Dimensions,Pattern.Module8Dimensions,Pattern.Module9Dimensions,Pattern.Module10Dimensions,Pattern.Module11Dimensions,Pattern.Module12Dimensions,Pattern.Module13Dimensions,Pattern.Module14Dimensions,Pattern.Module15Dimensions,Pattern.Module16Dimensions
PRESET,,1BBE0A59-0A02-F44A-9E9A-FD42E0EB6FE1,,0LayerPattern_0D-Continuous,,0LayerPattern_0D,,Continuous,/Game/ShoppingData/CraftingIcons/Patterns/Patterns_Continuous,,,,,,,,,,,,,,,,,,,
PRESET,,86445CBA-14A0-764D-924B-F0EA8C6DBF34,,0LayerPattern_2D-Stack Bond,,0LayerPattern_2D,,Stack Bond,/Game/ShoppingData/CraftingIcons/Patterns/Patterns_StackBond,1,"(G+L,G+H)",Width,"(G/2,G/2),Module1,L,H",,,,,,,,,,,,,,,
PRESET,,127B65DC-E478-EE45-A091-17B26F2852AD,,0LayerPattern_2D-Soldier Bond,,0LayerPattern_2D,,Soldier Bond,/Game/ShoppingData/CraftingIcons/Patterns/Patterns_SoldierBond,1,"(G+H,G+L)",Width,"(G/2,G/2),Module1,H,L",,,,,,,,,,,,,,,
PRESET,,C3D300B5-B785-1E44-AAFE-3F54DE7A954A,,0LayerPattern_2D-Running Bond,,0LayerPattern_2D,,Running Bond,/Game/ShoppingData/CraftingIcons/Patterns/Patterns_RunningBond,1,"(G+L,2*(G+H))",Width,"(G/2,G/2),Module1,L,H","((1/2)*(G+L),(3/2)*G+H),Module1,L,H",,,,,,,,,,,,,,
PRESET,,09C7A964-6265-5143-9D13-CC18E72A43D9,,0LayerPattern_2D-One-Third Bond,,0LayerPattern_2D,,One-Third Bond,/Game/ShoppingData/CraftingIcons/Patterns/Patterns_OneThirdBond,1,"(G+L,2*(G+H))",Width,"(0,0),Module1,L,H","((2/3)*(G+L),G+H),Module1,L,H",,,,,,,,,,,,,,
PRESET,,8D9D1A35-F191-774C-8765-58ECF32A1CE8,,0LayerPattern_2D-Cascading Thirds,,0LayerPattern_2D,,Cascading Thirds,/Game/ShoppingData/CraftingIcons/Patterns/Patterns_CascadingThirdsBond,1,"(G+L,3*(G+H))",Width,"(0,0),Module1,L,H","((1/3)*(G+L),G+H),Module1,L,H","((2/3)*(G+L),2*(G+H)),Module1,L,H",,,,,,,,,,,,,
