TYPENAME,,NamedDimension,,Dimension,,,,,,,
,,Definition,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,
PROPERTY,,String,,Name,,Dimension.DisplayName,,,,,
PROPERTY,,Dimension,,,,Dimension.DefaultValue,,,,,
PROPERTY,,String,,,,Dimension.UIGroup,,,,,
PROPERTY,,String,,Description,,Dimension.Description,,,,,
,,Presets,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=GUID,GUID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Dimension.DisplayName,Dimension.DefaultValue,Dimension.UIGroup,Dimension.Description
PRESET,,Depth,,37E27C11-A7C8-E14E-9E99-3D4067D28E44,,NamedDimension,,Depth,4in,Major,
PRESET,,Diameter,,EECBFC01-118B-6545-9A18-745CC1A04DCA,,NamedDimension,,Diameter,6in,Major,
PRESET,,Length,,F6143975-A937-EA44-BBBE-D4566F973C48,,NamedDimension,,Length,24in,Major,
PRESET,,Height,,D6FF03D3-48B6-8D44-845E-42D6DC240D87,,NamedDimension,,Height,4in,Major,
PRESET,,Thickness,,AC8BFA34-6551-AC4E-828A-0B1EF5B19784,,NamedDimension,,Thickness,0.5in,Major,
PRESET,,Width,,74AC189B-150E-F145-BD0B-7B6C4A6C2573,,NamedDimension,,Width,6in,Major,
PRESET,,ToeKickDepth,,65F86F1E-1B59-6940-9AC9-DC5F9A0F94CC,,NamedDimension,,Toe Kick Depth,3.5in,Major,
PRESET,,ToeKickHeight,,4B3F99FE-4391-B142-A996-046AB117F691,,NamedDimension,,Toe Kick Height,4in,Major,
,,,,,,,,,,,
PRESET,,BacksetDistanceX,,2621239E-B499-B343-AD05-3CDFCF8A1BA3,,NamedDimension,,Backset,2.75in,Minor,How far in from the active edge of the panel should backset attachments be?
PRESET,,BevelWidth,,A0217336-6F72-844A-B583-11ADA04F7C7C,,NamedDimension,,Bevel Width,0.1875in,Minor,How much are the edges of a prismic module cut/beveled?
PRESET,,DeadboltDistanceZ,,91E24BAF-1D38-A441-9AAE-D3B44B9FD8D3,,NamedDimension,,Deadbolt Height,42in,Minor,How far above the base of the frame is the deadbolt?
PRESET,,DividerZ1Distance,,EBBBCC89-8FC8-1149-B43F-B0D0C5817FE5,,NamedDimension,,1st Divider Height,12in,Major,How far above the base of the frame is the top of its lowest panel?
PRESET,,DividerZ2Distance,,6523B663-6F23-4B44-B420-EE1C58A13077,,NamedDimension,,2nd Divider Height,18in,Major,How far above the base of the frame is the top of its second-lowest panel?
PRESET,,DividerZ3Distance,,0F874E45-D89F-9443-83DB-2169C96DE9FD,,NamedDimension,,3rd Divider Height,24in,Major,How far above the base of the frame is the top of its third-lowest panel?
PRESET,,FlangeThickness,,71EA7C96-D509-3447-AF45-8AF04C12C8BA,,NamedDimension,,Flange Thickness,0.5in,Minor,How thick are the top/bottom sections of an I-beam?
PRESET,,HandleDistanceZ,,200D0D5A-B993-574C-AFEB-DB5FEB3FDF5A,,NamedDimension,,Handle Height,36in,Minor,How far above the base of the frame is the handle?
PRESET,,HandleInsetX,,353DF1FB-B279-AF41-AB8C-EFE90F17E7AA,,NamedDimension,,Handle Inset X,0in,Minor,How far in from the right side should the handle be inset?
PRESET,,HandleInsetZ,,26852A5E-7583-0A46-AD39-309483CB8F4D,,NamedDimension,,Handle Inset Z,0in,Minor,How far in from the top or bottom should be handle be inset?
PRESET,,HangoffSizeX1,,9596E853-C4FC-E342-8405-9AD64B852112,,NamedDimension,,Overhang (Left),0in,Minor,How far outside the reference area does a frame's left extents hang? (e.g. a nailing fin)
PRESET,,HangoffSizeX2,,9564CB6A-21E5-CC4D-BC88-3E901BA184BB,,NamedDimension,,Overhang (Right),0in,Minor,How far outside the reference area does a frame's right extents hang? (e.g. a nailing fin)
PRESET,,HangoffSizeZ1,,81F1F66F-2A45-7C45-A7DF-2AC8D8B6FEBC,,NamedDimension,,Overhang (Bottom),0in,Minor,How far outside the reference area does a frame's bottom extents hang? (e.g. a nailing fin)
PRESET,,HangoffSizeZ2,,1D253244-FAAD-5744-A3AB-A05D9D9F234A,,NamedDimension,,Overhang (Top),0in,Minor,How far outside the reference area does a frame's top extents hang? (e.g. a nailing fin)
PRESET,,HeadSizeZ,,417FFA3F-5F90-0049-8244-D002AD9D8F7A,,NamedDimension,,Head Size,1in,Minor,How far into the reference area does a frame's top/head intrude?
PRESET,,HingeBottomDistanceZ,,8C30EA9A-2A3D-1042-9B81-C02859E1AD7C,,NamedDimension,,Bottom Hinge Height,12in,Major,How far above the base of the frame is its lowest hinge?
PRESET,,HingeTopDistanceZ,,1DA271FF-FCF3-2A4E-9C5D-A57FEA8FDA03,,NamedDimension,,Top Hinge Height,6in,Major,How far below the top of the frame is its highest hinge?
PRESET,,JambLeftSizeX,,8A8643DE-38D6-4040-B985-CCBA7C314E34,,NamedDimension,,Jamb Size (Left),1in,Minor,How far into the reference area does a frame's left side intrude?
PRESET,,JambRIghtSizeX,,65496461-9A6F-7041-9A63-3ABC439EA918,,NamedDimension,,Jamb Size (Right),1in,Minor,How far into the reference area does a frame's right side intrude?
PRESET,,KnockerDistanceZ,,7A00DB9C-D4B5-AB40-B34C-FA57EA99AFD4,,NamedDimension,,Knocker Height,54in,Minor,How far above the base of the frame is the knocker?
PRESET,,MailSlotDistanceZ,,C3CE0B6F-CF20-9A44-922C-5EC4A4668FE0,,NamedDimension,,Mail Slot Height,12in,Minor,How far above the base of the frame is the mail slot?
